pid,draft_year,vmb_age_reported_years,vmb_listed_height_in,vmb_listed_weight_lb,vmb_listed_bmi,vmb_college_class_year,vmb_position_pg,vmb_position_sg,vmb_position_sf,vmb_position_pf,vmb_position_c
P0ba0d4e186,2015,20.6,78.0,213.0,24.614368912416328,2.0,1.0,0.0,0.0,0.0,0.0
P11ed05516e,2015,20.3,80.0,200.0,21.970924363723725,,0.0,1.0,1.0,0.0,0.0
P128f74a48f,2015,20.3,81.0,199.0,21.324622214325974,1.0,0.0,0.0,0.0,1.0,0.0
P16f77dc0c6,2015,23.1,78.0,181.0,20.91643555468242,4.0,1.0,0.0,0.0,0.0,0.0
P1b292d5147,2015,21.4,80.0,253.0,27.793219320110516,3.0,0.0,0.0,0.0,1.0,0.0
P1c43036b93,2015,19.3,81.0,222.0,23.789277043117416,1.0,0.0,0.0,0.0,1.0,0.0
P2297a93a7f,2015,19.6,82.0,241.0,25.19925173900021,1.0,0.0,0.0,0.0,1.0,0.0
P2c58b86e78,2015,20.8,80.0,208.0,22.84976133827268,2.0,0.0,0.0,0.0,1.0,0.0
P2e8c779b09,2015,23.5,82.0,243.0,25.408374160070753,4.0,0.0,0.0,0.0,1.0,1.0
P3cfad83e39,2015,21.6,78.0,185.0,21.378677224399162,3.0,0.0,1.0,0.0,0.0,0.0
P3e493925a2,2015,19.2,77.0,200.0,23.71629548453902,,1.0,0.0,0.0,0.0,0.0
P4a125216bc,2015,20.9,80.0,238.0,26.145399992831234,2.0,0.0,0.0,0.0,1.0,1.0
P4ba2b4830d,2015,,79.0,180.0,20.277603642853503,2.0,0.0,1.0,1.0,0.0,0.0
P5492e07ad3,2015,20.3,83.0,246.0,25.1059829570668,2.0,0.0,0.0,0.0,1.0,0.0
P5849f19551,2015,20.2,80.0,190.0,20.87237814553754,,0.0,0.0,1.0,0.0,0.0
P5a591d3e24,2015,,84.0,250.0,24.910345083586993,1.0,0.0,0.0,0.0,0.0,1.0
P67cf99c3eb,2015,19.3,77.0,193.0,22.886225142580155,1.0,1.0,1.0,0.0,0.0,0.0
P7d77f683c0,2015,18.6,78.0,206.0,23.805445990412036,1.0,0.0,1.0,0.0,0.0,0.0
P831df49905,2015,22.0,76.0,215.0,26.17035312022494,4.0,0.0,1.0,0.0,0.0,0.0
P83f630794b,2015,21.7,78.0,196.0,22.64984181612019,3.0,0.0,1.0,0.0,0.0,0.0
P84b2e1b413,2015,19.7,83.0,216.0,22.044277718400117,2.0,0.0,0.0,0.0,1.0,0.0
P8d6369038a,2015,22.7,77.0,198.0,23.479132529693633,4.0,1.0,0.0,0.0,0.0,0.0
P944090784f,2015,21.7,78.0,200.0,23.11208348583693,4.0,0.0,1.0,0.0,0.0,0.0
P94d904f95a,2015,21.1,81.0,219.0,23.46780032631853,3.0,0.0,0.0,1.0,0.0,0.0
P9a02cf437c,2015,19.1,74.0,185.0,23.752350663485114,1.0,1.0,0.0,0.0,0.0,0.0
P9b0b27ae5d,2015,21.8,85.0,242.0,23.549181767844512,3.0,0.0,0.0,0.0,0.0,1.0
P9e418f4c91,2015,21.2,77.0,199.0,23.597714007116327,3.0,0.0,1.0,0.0,0.0,0.0
Pa24dadc449,2015,19.6,81.0,239.0,25.610978438311093,1.0,0.0,0.0,0.0,1.0,1.0
Pa48064fa8c,2015,,80.0,230.0,25.266563018282287,3.0,0.0,0.0,0.0,1.0,0.0
Pb067831a66,2015,21.5,78.0,231.0,26.694456426141652,3.0,0.0,0.0,1.0,0.0,0.0
Pb4e1522182,2015,20.4,79.0,211.0,23.769857603567164,2.0,0.0,0.0,1.0,0.0,0.0
Pb88d2f0541,2015,21.9,76.0,181.0,22.031785650049834,3.0,0.0,1.0,0.0,0.0,0.0
Pb9c495a67d,2015,19.5,83.0,272.0,27.759460830577925,1.0,0.0,0.0,0.0,0.0,1.0
Pc3390f55d0,2015,19.2,79.0,222.0,25.009044492852652,1.0,0.0,0.0,1.0,0.0,0.0
Pce2a43b358,2015,20.8,74.0,183.0,23.495568494150138,2.0,1.0,0.0,0.0,0.0,0.0
Pcf63b744fe,2015,18.8,77.0,199.0,23.597714007116327,1.0,0.0,1.0,0.0,0.0,0.0
Pcfe0d93659,2015,22.3,76.0,186.0,22.64039851331088,3.0,1.0,1.0,0.0,0.0,0.0
Pd0eaa15469,2015,21.0,81.0,239.0,25.610978438311093,2.0,0.0,0.0,1.0,1.0,0.0
Pd3473cff83,2015,21.4,84.0,258.0,25.707476126261778,2.0,0.0,0.0,0.0,0.0,1.0
Pdaafce7eb6,2015,,81.0,230.0,24.64654828791444,4.0,0.0,0.0,0.0,1.0,0.0
Pe71646e585,2015,21.2,74.0,190.0,24.394306086822546,2.0,1.0,0.0,0.0,0.0,0.0
Pe7f5f31a46,2015,21.6,82.0,243.0,25.408374160070753,4.0,0.0,0.0,0.0,1.0,0.0
Pea73008ab4,2015,22.4,77.0,215.0,25.49501764587945,4.0,0.0,1.0,0.0,0.0,0.0
Peaf1686cc0,2015,19.2,84.0,239.0,23.814289899909166,1.0,0.0,0.0,0.0,0.0,1.0
Pec96a14b85,2015,22.2,85.0,231.0,22.47876441476067,4.0,0.0,0.0,0.0,1.0,0.0
Pf1eb0b11c1,2015,19.8,84.0,230.0,22.917517476900034,,0.0,0.0,0.0,1.0,0.0
Pf21d262b1c,2015,19.7,84.0,265.0,26.404965788602215,2.0,0.0,0.0,0.0,0.0,1.0
Pf634b73f97,2015,22.6,79.0,211.0,23.769857603567164,4.0,0.0,0.0,1.0,0.0,0.0
Pfd690eb68d,2015,,78.0,210.0,24.267687660128775,3.0,0.0,0.0,1.0,0.0,0.0
Pff77feae98,2015,19.0,79.0,242.0,27.262111564280822,1.0,0.0,0.0,1.0,0.0,0.0
P07954fea73,2016,18.9,79.0,185.0,20.840870410710547,,0.0,1.0,0.0,0.0,0.0
P0edb7d3b99,2016,20.4,70.0,149.0,21.3790545645377,2.0,1.0,0.0,0.0,0.0,0.0
P0fde3dedb2,2016,19.9,82.0,239.0,24.99012931792967,1.0,0.0,0.0,1.0,1.0,0.0
P117a6c6fb1,2016,18.8,81.0,196.0,21.00314549752709,1.0,0.0,0.0,1.0,0.0,0.0
P16f60c6002,2016,23.4,78.0,198.0,22.880962650978564,4.0,0.0,1.0,0.0,0.0,0.0
P1a32cd4176,2016,19.4,84.0,249.0,24.810703703252646,,0.0,0.0,0.0,0.0,1.0
P25bfc6427b,2016,20.9,84.0,244.0,24.312496801580906,3.0,0.0,0.0,0.0,0.0,1.0
P3ea09a4d42,2016,,79.0,200.0,22.53067071428167,2.0,0.0,1.0,1.0,0.0,0.0
P47380ec945,2016,18.9,82.0,233.0,24.362762054718047,1.0,0.0,0.0,0.0,1.0,0.0
P4a1b07df85,2016,19.5,77.0,190.0,22.53048071031207,1.0,0.0,1.0,0.0,0.0,0.0
P4b59f5fe56,2016,19.3,85.0,216.0,21.019104387828158,4.0,0.0,0.0,0.0,1.0,0.0
P4ec4ee54f1,2016,22.5,77.0,212.0,25.139273213611364,4.0,0.0,1.0,0.0,0.0,0.0
P521ea871d2,2016,,80.0,230.0,25.266563018282287,4.0,0.0,0.0,1.0,1.0,0.0
P53f786523f,2016,18.5,85.0,225.0,21.894900403987666,,0.0,0.0,0.0,1.0,0.0
P55d1c5e102,2016,21.8,79.0,191.0,21.516790532138995,4.0,1.0,1.0,0.0,0.0,0.0
P55f0d03e7b,2016,23.5,75.0,184.0,22.99818713841872,4.0,1.0,0.0,0.0,0.0,0.0
P620501ed0d,2016,20.1,82.0,231.0,24.153639633647508,2.0,0.0,0.0,0.0,1.0,1.0
P64adb31e4d,2016,19.2,85.0,265.0,25.78732714247436,,0.0,0.0,0.0,0.0,1.0
P6f92e02de4,2016,20.4,78.0,200.0,23.11208348583693,1.0,0.0,1.0,1.0,0.0,0.0
P83cf60968a,2016,20.9,83.0,220.0,22.452505083555675,,0.0,0.0,0.0,1.0,0.0
