pid,draft_year,vmb_age_reported_years,vmb_listed_height_in,vmb_listed_weight_lb,vmb_listed_bmi,vmb_college_class_year,vmb_position_pg,vmb_position_sg,vmb_position_sf,vmb_position_pf,vmb_position_c
P58604dcdcf,2017,,,,,,,,,,
P16f60c6002,2016,,,,,,,,,,
P267f5baf8e,2008,,,,,,,,,,
P8955b1a9c4,2000,,,,,,,,,,
P099a8d0c1c,2005,,,,,,,,,,
P3470a61a00,2005,,,,,,,,,,
P5e4491e5c3,2005,,,,,,,,,,
Pc047806c80,2005,,,,,,,,,,
Pf804162018,2005,,,,,,,,,,
P572a4194e6,2005,,,,,,,,,,
Pcb4360a784,2005,,,,,,,,,,
P5afd5b991d,2005,,,,,,,,,,
Pff47b96114,2005,,,,,,,,,,
P2f15d5867f,2005,,,,,,,,,,
P8a3b7b6860,2005,,,,,,,,,,
P9f246cdbe1,2005,,,,,,,,,,
Pf4d4553b6f,2005,,,,,,,,,,
Pc295aab61a,2005,,,,,,,,,,
P81f3558def,2005,,,,,,,,,,
P959d20dcac,2005,,,,,,,,,,
P9cbbbfe0cc,2005,,,,,,,,,,
Pa4dad52ff4,2005,,,,,,,,,,
P311b5f6b41,2005,,,,,,,,,,
P6f59c256f3,2005,,,,,,,,,,
P5ea12f1777,2005,,,,,,,,,,
P17786d3599,2005,,,,,,,,,,
Pd11ab06c36,2005,,,,,,,,,,
P3e3a854ff5,2005,,,,,,,,,,
P8c537f5a4d,2005,,,,,,,,,,
P13a7a5112c,2005,,,,,,,,,,
Pdb057d444b,2005,,,,,,,,,,
P690d8b352a,2005,,,,,,,,,,
P19de9513b3,2005,,,,,,,,,,
Pc6a39f466a,2005,,,,,,,,,,
Pd382320a3c,2005,,,,,,,,,,
Peb2d46202e,2005,,,,,,,,,,
P83f985b4bd,2005,,,,,,,,,,
Pce1d0d3699,2005,,,,,,,,,,
P01bc9a886e,2005,,,,,,,,,,
P6b0e9b0b2a,2005,,,,,,,,,,
P11475d8eed,2005,,,,,,,,,,
P43e7adb565,2005,,,,,,,,,,
Pdacd6ab94d,2005,,,,,,,,,,
P63a21fbef6,2005,,,,,,,,,,
P74b71b0d31,2005,,,,,,,,,,
P83f12f36b1,2005,,,,,,,,,,
P1378011126,2005,,,,,,,,,,
P2b78092e41,2005,,,,,,,,,,
Pbb4d6101de,2005,,,,,,,,,,
P1dfb3826fd,2005,,,,,,,,,,
P38dadf836a,2005,,,,,,,,,,
Pb5af3844f5,2005,,,,,,,,,,
P0820723beb,2005,,,,,,,,,,
P927dcf71a8,2005,,,,,,,,,,
Pf4d757d073,2005,,,,,,,,,,
P5840594df8,2005,,,,,,,,,,
P5b1d935a26,2005,,,,,,,,,,
Pc067530e3e,2005,,,,,,,,,,
P21b2b49a34,2005,,,,,,,,,,
Pb87f242f46,2005,,,,,,,,,,
Pd650e439a2,2005,,,,,,,,,,
P5104e01e75,2005,,,,,,,,,,
P32b8c3a5cb,2005,,,,,,,,,,
Pbe0a02c2fd,2005,,,,,,,,,,
Pa68189cdce,2005,,,,,,,,,,
Pef98a54ad0,2005,,,,,,,,,,
P3928bad8a7,2005,,,,,,,,,,
Pb945050559,2005,,,,,,,,,,
Pf0c178cb1c,2005,,,,,,,,,,
P7f2c8eb929,2005,,,,,,,,,,
Pd7ea309dee,2005,,,,,,,,,,
P16dd82b034,2005,,,,,,,,,,
Pc1044ed1f5,2005,,,,,,,,,,
P103e95dd1f,2008,,,,,,,,,,
Pb8998ddf4a,2006,,,,,,,,,,
P403a83bdf0,2005,,,,,,,,,,
Pdf59a363f3,2005,,,,,,,,,,
P7363f8a8b4,2006,,,,,,,,,,
P6f687d1dcc,2006,,,,,,,,,,
P1259ebdf13,2005,,,,,,,,,,
