pid,draft_year,source_year,source_filename,source_row,match_method
P58604dcdcf,2017,2017,combine_2017.json,28,unique_exact_same_cohort_name
P099a8d0c1c,2005,2005,combine_2005.json,9,unique_nba_id
P3470a61a00,2005,2005,combine_2005.json,76,unique_nba_id
P5e4491e5c3,2005,2005,combine_2005.json,56,unique_nba_id
Pc047806c80,2005,2005,combine_2005.json,19,unique_nba_id
Pf804162018,2005,2005,combine_2005.json,74,unique_nba_id
P572a4194e6,2005,2005,combine_2005.json,72,unique_nba_id
Pcb4360a784,2005,2005,combine_2005.json,16,unique_nba_id
P5afd5b991d,2005,2005,combine_2005.json,77,unique_nba_id
P8a3b7b6860,2005,2005,combine_2005.json,48,unique_nba_id
P9f246cdbe1,2005,2005,combine_2005.json,49,unique_nba_id
Pf4d4553b6f,2005,2005,combine_2005.json,79,unique_nba_id
Pc295aab61a,2005,2005,combine_2005.json,29,unique_nba_id
P81f3558def,2005,2005,combine_2005.json,31,unique_nba_id
P959d20dcac,2005,2005,combine_2005.json,34,unique_nba_id
Pa4dad52ff4,2005,2005,combine_2005.json,37,unique_nba_id
P311b5f6b41,2005,2005,combine_2005.json,26,unique_nba_id
P6f59c256f3,2005,2005,combine_2005.json,33,unique_nba_id
P17786d3599,2005,2005,combine_2005.json,47,unique_nba_id
P8c537f5a4d,2005,2005,combine_2005.json,64,unique_nba_id
Pc6a39f466a,2005,2005,combine_2005.json,36,unique_nba_id
Pd382320a3c,2005,2005,combine_2005.json,71,unique_nba_id
Peb2d46202e,2005,2005,combine_2005.json,15,unique_nba_id
P01bc9a886e,2005,2005,combine_2005.json,67,unique_nba_id
P11475d8eed,2005,2005,combine_2005.json,5,unique_nba_id
P43e7adb565,2005,2005,combine_2005.json,80,unique_nba_id
P83f12f36b1,2005,2005,combine_2005.json,75,unique_nba_id
P2b78092e41,2005,2005,combine_2005.json,70,unique_nba_id
P38dadf836a,2005,2005,combine_2005.json,28,unique_nba_id
Pb5af3844f5,2005,2005,combine_2005.json,0,unique_nba_id
P21b2b49a34,2005,2005,combine_2005.json,25,unique_nba_id
Pb87f242f46,2005,2005,combine_2005.json,46,unique_nba_id
Pd650e439a2,2005,2005,combine_2005.json,4,unique_nba_id
P5104e01e75,2005,2005,combine_2005.json,7,unique_nba_id
Pa68189cdce,2005,2005,combine_2005.json,61,unique_nba_id
Pef98a54ad0,2005,2005,combine_2005.json,63,unique_nba_id
P3928bad8a7,2005,2005,combine_2005.json,11,unique_nba_id
Pb945050559,2005,2005,combine_2005.json,38,unique_nba_id
Pc1044ed1f5,2005,2005,combine_2005.json,23,unique_nba_id
P403a83bdf0,2005,2005,combine_2005.json,52,unique_nba_id
P55b27de869,2005,2005,combine_2005.json,45,unique_nba_id
P9a02cf437c,2015,2015,combine_2015.json,28,unique_nba_id
Pb067831a66,2015,2015,combine_2015.json,1,unique_nba_id
Pf634b73f97,2015,2015,combine_2015.json,5,unique_nba_id
P1b292d5147,2015,2015,combine_2015.json,16,unique_nba_id
P0ba0d4e186,2015,2015,combine_2015.json,17,unique_nba_id
Peda2227014,2015,2015,combine_2015.json,18,unique_nba_id
P16f77dc0c6,2015,2015,combine_2015.json,57,unique_nba_id
P3cfad83e39,2015,2015,combine_2015.json,24,unique_nba_id
P94d904f95a,2015,2015,combine_2015.json,11,unique_nba_id
P67cf99c3eb,2015,2015,combine_2015.json,45,unique_nba_id
Pe7f5f31a46,2015,2015,combine_2015.json,22,unique_nba_id
Pc3390f55d0,2015,2015,combine_2015.json,55,unique_nba_id
P9b0b27ae5d,2015,2015,combine_2015.json,6,unique_nba_id
Ped4ca8f8d6,2015,2015,combine_2015.json,37,unique_nba_id
Pec96a14b85,2015,2015,combine_2015.json,29,unique_nba_id
P7d77f683c0,2015,2015,combine_2015.json,4,unique_nba_id
Pce2a43b358,2015,2015,combine_2015.json,38,unique_nba_id
Peaf1686cc0,2015,2015,combine_2015.json,49,unique_nba_id
P2297a93a7f,2015,2015,combine_2015.json,31,unique_nba_id
P8d6369038a,2015,2015,combine_2015.json,14,unique_nba_id
P5492e07ad3,2015,2015,combine_2015.json,40,unique_nba_id
P1c43036b93,2015,2015,combine_2015.json,30,unique_nba_id
Pcf63b744fe,2015,2015,combine_2015.json,51,unique_nba_id
P4a125216bc,2015,2015,combine_2015.json,35,unique_nba_id
P2e8c779b09,2015,2015,combine_2015.json,7,unique_nba_id
Pf21d262b1c,2015,2015,combine_2015.json,27,unique_nba_id
Pb4e1522182,2015,2015,combine_2015.json,21,unique_nba_id
Pe71646e585,2015,2015,combine_2015.json,44,unique_nba_id
P831df49905,2015,2015,combine_2015.json,41,unique_nba_id
Ped46c6be82,2015,2015,combine_2015.json,10,unique_nba_id
Pd0eaa15469,2015,2015,combine_2015.json,32,unique_nba_id
P128f74a48f,2015,2015,combine_2015.json,34,unique_nba_id
Pea73008ab4,2015,2015,combine_2015.json,8,unique_nba_id
P6f3f385e9b,2015,2015,combine_2015.json,54,unique_nba_id
Pf93789f1b5,2016,2016,combine_2016.json,1,unique_nba_id
P4a1b07df85,2016,2016,combine_2016.json,3,unique_nba_id
P47380ec945,2016,2016,combine_2016.json,10,unique_nba_id
P9668122fb9,2016,2016,combine_2016.json,13,unique_nba_id
P9155961dd2,2016,2016,combine_2016.json,15,unique_nba_id
P9264b6e63a,2016,2016,combine_2016.json,16,unique_nba_id
P4ec4ee54f1,2016,2016,combine_2016.json,24,unique_nba_id
Pa466887b08,2016,2016,combine_2016.json,26,unique_nba_id
Pbfe4edf289,2016,2016,combine_2016.json,27,unique_nba_id
P25bfc6427b,2016,2016,combine_2016.json,28,unique_nba_id
Pd856e50561,2016,2016,combine_2016.json,29,unique_nba_id
P55d1c5e102,2016,2016,combine_2016.json,31,unique_nba_id
P4b59f5fe56,2016,2016,combine_2016.json,33,unique_nba_id
P88f4dbf943,2016,2016,combine_2016.json,40,unique_nba_id
Pc5a8d9d1d6,2016,2016,combine_2016.json,41,unique_nba_id
P9c2d575f48,2016,2016,combine_2016.json,42,unique_nba_id
Pfa4c05beee,2016,2016,combine_2016.json,46,unique_nba_id
P0edb7d3b99,2016,2016,combine_2016.json,49,unique_nba_id
P88064c1c05,2016,2016,combine_2016.json,51,unique_nba_id
Pb3a7a6f86b,2016,2016,combine_2016.json,55,unique_nba_id
Pce6ddda209,2016,2016,combine_2016.json,0,unique_nba_id
